,close_high,close_left,close_left_and_high,close_right,close_right_and_high,clubName,high_centre,high_left,high_right,low_centre,low_left,low_right,player,player_id,saves
154,4,1,1,0,0,Vancouver Whitecaps FC,2,9,2,2,0,0,Barry Robson,16721,0
155,0,6,0,0,0,Montreal Impact,1,6,4,7,5,3,Ambroise Oyongo Bitolo,180562,0
156,0,6,0,2,0,New York Red Bulls,3,1,2,11,9,4,Gonzalo Verón,131415,0
157,3,4,0,1,1,LA Galaxy,1,3,8,5,6,7,Baggio Husidic,60132,0
158,1,14,1,15,6,Vancouver Whitecaps FC,8,9,25,32,28,30,Camilo Sanvezzo,78172,0
159,1,0,0,0,0,Montreal Impact,0,2,1,2,3,3,Jeisson Vargas,201053,0
160,1,2,0,3,0,Chicago Fire,2,1,6,2,4,5,Juan Anangono,131422,0
161,0,0,0,0,0,Chicago Fire,0,0,0,0,1,2,Federico Puppo,110943,0
162,0,5,0,2,0,Chivas USA,0,2,8,8,6,7,Miller Bolaños,110945,0
163,2,2,0,1,0,Columbus Crew SC,2,1,4,1,1,3,Wil Trapp,148995,0
164,0,2,0,3,0,Philadelphia Union,1,1,5,4,3,2,Veljko Paunovic,8548,0
165,0,0,0,0,0,New England Revolution,0,0,0,0,0,0,Zachary Herivaux,209256,0
166,0,0,0,0,0,Orlando City SC,0,2,1,0,1,4,Mohamed El-Munir Abdussalam,110954,0
167,1,0,0,0,0,Sporting Kansas City,0,0,0,0,0,1,Erik Palmer-Brown,168301,0
168,5,8,2,9,0,Chivas USA,3,3,13,15,17,10,Juan Pablo Ángel,8560,0
169,1,2,0,2,0,New York City FC,1,2,1,3,2,7,Ronald Matarrita,180593,0
170,0,0,0,0,0,San Jose Earthquakes,0,0,0,0,0,0,Matheus Martins Silva,213363,0
171,0,0,0,0,0,Toronto FC,0,2,0,1,0,0,Michael Thomas,82293,0
172,0,0,0,0,0,Chicago Fire,0,0,0,0,0,0,Yazid Atouba,151927,0
173,1,1,0,5,1,Colorado Rapids,1,3,7,4,7,2,Carlos Alvarez,151928,0
174,4,8,3,16,1,D.C. United,7,16,10,20,28,20,Deshorn Brown,151929,0
175,0,0,0,0,0,D.C. United,1,2,1,4,2,0,José Guillermo Ortiz,180602,0
176,0,1,0,2,0,Chivas USA,1,3,1,5,3,0,Ryan Finley,151931,0
177,2,1,0,5,0,Los Angeles Football Club,3,4,5,10,3,5,Walker Zimmerman,151933,0
178,1,0,0,0,0,LA Galaxy,1,0,0,0,0,0,Charlie Rugg,151934,0
179,0,2,1,3,0,D.C. United,0,6,4,5,3,0,Kofi Opare,151935,0
180,0,0,0,1,0,Chicago Fire,0,1,1,0,0,1,Greg Cochrane,151936,0
181,0,0,0,0,0,Montreal Impact,1,1,0,1,1,1,Blake Smith,151937,0
182,0,0,0,0,0,Columbus Crew SC,0,0,0,0,0,0,Brad Stuver,151939,0
183,0,0,0,3,1,New England Revolution,1,0,2,4,4,1,Andrew Farrell,151940,0
184,1,3,4,8,1,Houston Dynamo,1,12,3,10,6,11,Cristián Maidana,49541,0
185,0,0,0,0,0,Philadelphia Union,0,0,0,0,0,0,Don Anding,151943,0
186,4,4,0,3,0,Real Salt Lake,1,7,1,11,4,4,Devon Sandoval,151946,0
187,2,6,0,9,0,Portland Timbers,6,15,7,12,14,22,Ryan Johnson,37259,0
188,0,1,0,1,0,Columbus Crew SC,1,3,2,2,4,5,Milovan Mirosevic,33164,0
189,0,1,0,0,0,Toronto FC,1,1,2,1,2,2,Eriq Zavaleta,151949,0
190,1,1,0,0,0,Houston Dynamo,1,0,2,0,0,0,Dylan Remick,151950,0
191,0,0,0,0,0,Toronto FC,0,0,0,0,0,0,Emery Welshman,151951,0
192,8,13,1,4,4,Columbus Crew SC,5,9,19,37,36,18,Kekuta Manneh,151952,0
